,date,tweet
148,2022-04-05 01:02:21+00:00,"Sch! Aku yg udh semangat belajar buat ngejar mimpi kuliah di yujiem, denger berita klitih dimana mana jadi takut 🙂🤧 soalnya aku bener"" sndiri nanti di jogja gimana yhh 🤲 https://t.co/8CmHZp1mO0"
149,2022-04-05 01:02:08+00:00,@hei_zendaya banyak klitih😭🤚🏻
150,2022-04-05 01:02:05+00:00,"@CNNIndonesia Mantap, sultan! Semoga jogja jadi bebas klitih. Waswas juga kalo pulang kerja malam2"
151,2022-04-05 01:01:28+00:00,"@merapi_uncover @aleppajaa Nemu di sebelah. Ini kejadian di Semarang katanya. Kalau di Jogja namanya klitih, kalau di Semarang namanya kreak.

Sistem sosial terlihat sangat sakit, ya. Jika sehat yang ginian ga bakal semarak ini. https://t.co/49FmhV6TrM"
152,2022-04-05 01:01:21+00:00,Klitih KNTL!!!
153,2022-04-05 01:01:06+00:00,Klitih di Jogja sangat meresahkan https://t.co/jnjB2GgzyU
154,2022-04-05 01:01:03+00:00,"Libatkan Aksi Kriminal Remaja, Apa Itu Klitih yang Tengah Ramai di Medsos?: Dulu tidak mengandung arti negatif, sekarang dipakai untuk menunjuk aksi-aksi kekerasan &amp; kriminalitas 

The post Libatkan Aksi Kriminal Remaja, Apa Itu Klitih yang Tengah Ramai… https://t.co/hCX7MKTjV5"
155,2022-04-05 01:00:57+00:00,"klitih gk kan bs hilang dr jogja, krn klitih mendatangkan uang bwt isilop https://t.co/O34hMZaI18"
156,2022-04-05 01:00:55+00:00,@dntkntngg @fullmoonfolks turut berduka buat korban..tapi disisi lain ini bisa jadi start bagus biar aparat bener2 niat ngeberantas total klitih ini.
157,2022-04-05 01:00:42+00:00,@sukasukadani @Larassdwwi @cahyew @AREAJULID Ya anda bakalan disegani para gengster dan mafia....apalagi bs bunuhin klitih sekomplek bs dianggap suhu anda itu 🤭🤣
158,2022-04-05 01:00:21+00:00,"@kumparan Klitih ki ga Ada tindakan di? 

Jujur males tanya soalnya berkaitan dg kesultanan bahaya 🤐

Sebagai sultan mustinya save generasi muda bukan biarin jadi kliti. 🙏"
159,2022-04-05 00:59:49+00:00,"lama lama jogja udah kayak gotham dah. klo pemerintah menggaji aparat tidak bisa menyelesaikan permasalahan klitih, saya sarankan menyewa batman saja🙏🏻"
160,2022-04-05 00:59:40+00:00,"Mau Eksis kok jadi Klitih. Lha mbok sing kreatif, buka usaha kek, ngelukis kek, main musik, nulis buku. Jadi remaja wajar kalau nakal, tapi kalau sampai mengancam jiwa manusia bukan nakal namanya, tapi kriminal"
161,2022-04-05 00:59:05+00:00,@daeguchan_ @AREAJULID Kak niss hati2 yaa emang bener2 ada ya kak klitih itu?
162,2022-04-05 00:58:55+00:00,"Klitih sho of force niru geng , bikin neg aja + njijiki"
163,2022-04-05 00:58:22+00:00,"@kumparan Bocah2 pelaku klitih ki nek ditangkep trs sikile disabet nggo selang banyu kiro2 njaluk ampun sambil nangis2 ra, yo?"
164,2022-04-05 00:58:13+00:00,"@merapi_uncover @Upil_Jaran2 @holywingsindo cabang jogja mungkin mau ngadain adu jotos para klitih sama paris fernandez.
Apik hlooo, klitih2 sek ketangkep kon adu tinju wae drpd dicekel polisi mung dilepas"
165,2022-04-05 00:57:57+00:00,"Bertanya, kira2 ke Jogja apa tetap aman ya untuk jalan2 malam, melihat isu klitih yg spt tdk terkontrol &amp; terkesan makin ngawur. @JogjaUpdate @infojogja. Sya harap @PoldaJogja bisa mengembalikan jogja selembut dulu, jauh dari isu ""klitih"". Maturnuwun 🙏🏻🙏🏻"
166,2022-04-05 00:57:54+00:00,""" Klitih dan Ngaji di Malioboro: Mana yang Lebih Mengkhawatirkanmu?""
Bersama Ust Akmal Sjafril https://t.co/Eogaya3VEk"
167,2022-04-05 00:57:49+00:00,@shitlicious awas ada klitih
